51,4,51
52,1,52
53,5,53
54,2,54
55,6,55
56,16,56
57,5,57
58,19,58
59,18,59
60,6,60
61,16,61
62,19,62
63,5,63
64,18,64
65,6,65
66,16,66
67,19,67
68,5,68
69,19,69
70,6,70
71,16,71
72,14,72
73,5,73
74,19,74
75,19,75
76,16,76
77,19,77
78,5,78
79,1,79
80,6,80
81,16,81
82,19,82
83,5,83
84,18,84
85,6,85
86,16,86
87,19,87
88,5,88
89,19,89
90,6,90
91,16,91
92,19,92
93,5,93
94,2,94
95,6,95
96,16,96
97,19,97
98,10,98
99,11,99
100,4,100
101,15,101
102,1,102
103,10,103
104,11,104
105,4,105
106,15,106
107,1,107
108,10,108
109,11,109
110,13,110
111,15,111
112,12,112
113,10,113
114,11,114
115,7,115
116,15,116
117,1,117
118,10,118
119,11,119
120,13,120
121,15,121
122,1,122
123,10,123
124,11,124
125,7,125
126,15,126
127,1,127
128,1,128
129,15,129
130,13,130
131,11,131
132,10,132
133,10,133
134,11,134
135,15,135
136,1,136
137,15,137
138,13,138
139,11,139
140,5,140
